,"Trade Date","Order ID","Action","Sym/Description",,,"Qty","Price","Comm","Amount"
,"01/14/2015","ABUM4414","Sell","SYMBOL: CMCSA","CMC",,30,55.71,2.51,1668.75
,,,,"COMCAST CORP CL A NEW","",,,,,
,,,,"SETTLEMENT DATE: 01/20/2015","",,,,,
,"01/13/2015","ABUL7607","Sell","SYMBOL: EMC","EMC",,70,28.55,2.51,1995.94
,,,,"E M C CORP MASS","",,,,,
,,,,"SETTLEMENT DATE: 01/16/2015","",,,,,
,"01/13/2015","ABUM4406","Buy","SYMBOL: CMCSA","CMC",,30,57.33,2.5,-1722.4
,,,,"COMCAST CORP CL A NEW","",,,,,
,,,,"SETTLEMENT DATE: 01/16/2015","",,,,,
,"01/13/2015","ABUM3777","Buy","SYMBOL: X","X",,50,23.3,2.5,-1167.5
,,,,"UNITED STATES STEEL CORP NEW","",,,,,
,,,,"SETTLEMENT DATE: 01/16/2015","",,,,,
,"01/13/2015","ABUM2434","Sell","SYMBOL: AA","AA",,100,15.93,2.51,1590.45
,,,,"ALCOA INC","",,,,,
,,,,"SETTLEMENT DATE: 01/16/2015","",,,,,
,"01/12/2015","ABUM2266","Buy","SYMBOL: TOUR","TOU",,100,12.87,2.5,-1289.5
,,,,"TUNIU CORP SPONSORED ADS","",,,,,
,,,,"REPSTG CL A","",,,,,
,,,,"SETTLEMENT DATE: 01/15/2015","",,,,,
,"01/12/2015","ABUM2276","Buy","SYMBOL: AA","AA",,100,16.11,2.5,-1613.5
,,,,"ALCOA INC","",,,,,
,,,,"SETTLEMENT DATE: 01/15/2015","",,,,,
,"01/12/2015","ABUM2264","Buy","SYMBOL: FCX","FCX",,80,22.78,2.5,-1824.9
,,,,"FREEPORT MCMORAN INC","",,,,,
,,,,"SETTLEMENT DATE: 01/15/2015","",,,,,
,"01/12/2015","ABUM2239","Buy","SYMBOL: FCX","FCX",,80,22.78,2.5,-1824.9
,,,,"FREEPORT MCMORAN INC","",,,,,
,,,,"SETTLEMENT DATE: 01/15/2015","",,,,,
,"01/12/2015","ABUL4239","Sell","SYMBOL: UNG","UNG",,110,14.2405,2.52,1563.89
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 01/15/2015","",,,,,
,"01/12/2015","ABUL8280","Sell","SYMBOL: FCX","FCX",,90,22.88,2.51,2056.64
,,,,"FREEPORT MCMORAN INC","",,,,,
,,,,"SETTLEMENT DATE: 01/15/2015","",,,,,
,"01/09/2015","ABUL4211","Sell","SYMBOL: NLY","NLY",,150,10.795,2.52,1616.69
,,,,"ANNALY CAPITAL MANAGEMENT INC","",,,,,
,,,,"SETTLEMENT DATE: 01/14/2015","",,,,,
,"01/08/2015","ABUL8387","Sell","SYMBOL: S","S",,400,4.19,2.55,1673.41
,,,,"SPRINT CORP SER 1","",,,,,
,,,,"SETTLEMENT DATE: 01/13/2015","",,,,,
,"01/08/2015","ABUL7784","Sell","SYMBOL: STX","STX",,30,65.5,2.52,1962.43
,,,,"SEAGATE TECHNOLOGY PLC","",,,,,
,,,,"SETTLEMENT DATE: 01/13/2015","",,,,,
,"01/08/2015","ABUL7765","Sell","SYMBOL: BSX","BSX",,100,14.6,2.51,1457.45
,,,,"BOSTON SCIENTIFIC CORP","",,,,,
,,,,"SETTLEMENT DATE: 01/13/2015","",,,,,
,"01/08/2015","ABUL7648","Buy","SYMBOL: S","S",,400,4.25,2.5,-1702.5
,,,,"SPRINT CORP SER 1","",,,,,
,,,,"SETTLEMENT DATE: 01/13/2015","",,,,,
,"01/07/2015","ABUL4204","Sell","SYMBOL: JMEI","JME",,40,13.51,2.51,537.87
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 01/12/2015","",,,,,
,"01/07/2015","ABUL5798","Sell","SYMBOL: LNCO","LNC",,150,10.93,2.52,1636.94
,,,,"LINNCO LLC","",,,,,
,,,,"SETTLEMENT DATE: 01/12/2015","",,,,,
,"01/07/2015","ABUL4192","Sell","SYMBOL: JKS","JKS",,200,17.46,2.52,3489.4
,,,,"JINKOSOLAR HOLDING COMPANY LTD SPONSORED","",,,,,
,,,,"ADR","",,,,,
